Account,Phone,Date,City,Province,Amount
22296,519-626-9357,20-Jan,WALLACEBG    ON,,0.01
78667,226-927-1956,31-Jan,LONDON,ON,0.1
11313,712-770-4340,2-Jan,GLIDDEN,IA,0.41
11313,647-497-9372,30-Jan,TORONTO,ON,1.32
11321,226-929-5945,2-Jan,KITCHEWTR     ON,,0.02
11321,226-627-4749,18-Jan,CHATHAM,ON,0.31
22296,514-512-9794,4-Jan,MONTREAL,PQ,0.02
22296,519-627-2496,13-Jan,WALLACEBG,ON,0.01
22296,705-799-7440,25-Jan,OMEMEE,ON,0.02
22296,519-437-5081,26-Jan,CHATHAM,ON,0.04
22296,519-365-3570,30-Jan,CHATHAM,ON,0.01
78667,226-880-2575,20-Jan,STRATFORD,ON,0.03
11321,647-497-9372,9-Jan,TORONTO,ON,2.37
11321,519-627-1497,12-Jan,WALLACEBG    ON,,0.03
11321,905-691-3912,17-Jan,MILTON,ON,0.01
11321,647-497-9372,18-Jan,TORONTO,ON,6.4
11321,647-289-9315,19-Jan,TORONTO,ON,0.02
11321,519-627-5593,30-Jan,WALLACEBG    ON,,0.07
11321,519-627-3368,30-Jan,WALLACEBG    ON,,0.08
22296,226-821-2415,2-Jan,GUELPH,ON,0.01
22296,519-627-5162,14-Jan,WALLACEBG    ON,,0.04
22296,519-437-8497,15-Jan,CHATHAM,ON,0.02
22296,613-290-2568,20-Jan,OTTAWAHUL    ON,,0.01
22296,519-627-1481,20-Jan,WALLACEBG    ON,,0.06
22296,226-627-4749,22-Jan,CHATHAM,ON,0.01
22296,306-396-2055,31-Jan,PATUANAK,SK,0.03
11321,780-804-4482,8-Jan,FTMCMURRA,AB,0.01
11321,519-627-9972,12-Jan,WALLACEBG,ON,0.01
11321,647-521-7701,24-Jan,TORONTO,ON,0.03
22296,519-627-1266,4-Jan,WALLACEBG,ON,0.01
22296,780-804-4482,6-Jan,FTMCMURRA,AB,0.01
22296,519-627-2496,16-Jan,WALLACEBG,ON,0.01
22296,226-627-1015,20-Jan,CHATHAM,ON,0.01
22296,519-627-1481,20-Jan,WALLACEBG,ON,0.02
22296,519-627-1481,20-Jan,WALLACEBG,ON,0.12
22296,519-627-1481,20-Jan,WALLACEBG,ON,0.01
22296,905-813-7700,30-Jan,STREETSVL,ON,0.01
78667,519-940-8234,19-Jan,ORANGEVL,ON,0.03
11313,647-497-9372,23-Jan,TORONTO,ON,1.36
11321,226-627-4749,22-Jan,CHATHAM,ON,0.01
22296,519-627-1266,10-Jan,WALLACEBG,ON,0.02
22296,519-695-2714,14-Jan,BOTHWELL,ON,0.03
22296,613-290-2568,16-Jan,OTTAWAHUL,ON,0.01
22296,519-627-2496,16-Jan,WALLACEBG,ON,0.01
22296,519-379-1715,17-Jan,OWEN SOUN,ON,0.06
